report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,route_type,road_name,cross_street_type,cross_street_name,off_road_description,municipality,related_non_motorist,collision_type,weather,surface_condition,light,traffic_control,driver_substance_abuse,non_motorist_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,latitude,longitude,geolocation
DD56150097,200039625,Rockville Police Departme,Property Damage Crash,2020-10-08T12:51:00.000,Maryland (State),HUNGERFORD DR,Municipality,FREDERICK AVE #2,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,F6D9BCA5-9AE9-490A-A9AF-00DC3ECB437B,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,09BD170E-B134-49E2-BC57-F1CF6C5C7CEC,DISABLING,SIX OCLOCK,UNDERSIDE,MOTORCYCLE,SLOWING OR STOPPING,North,North,35,No,No,2017,YAMAHA,BOLT,NO MISUSE,39.09226138,-77.15304406,"
,  
(39.09226138, -77.15304406)"
DD56150097,200039625,Rockville Police Departme,Property Damage Crash,2020-10-08T12:51:00.000,Maryland (State),HUNGERFORD DR,Municipality,FREDERICK AVE #2,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,BC5CB81E-E0CC-4444-9003-DAEF8D5085DB,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,2E1A66DE-8EBA-4462-8BF3-9591E43438F8,DISABLING,TWO OCLOCK,TWELVE OCLOCK,MOTORCYCLE,MOVING CONSTANT SPEED,North,North,35,No,No,2018,HONDA,CP650F,,39.09226138,-77.15304406,"
,  
(39.09226138, -77.15304406)"
MCP158000D9,200039599,Montgomery County Police,Injury Crash,2020-10-08T07:35:00.000,Maryland (State),CLOPPER RD,Municipality,PHEASANT RUN DR,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,19AE937B-4239-4B6F-AD8A-6CBCCDE554FC,No,POSSIBLE INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,MD,68F17606-97AA-4FC5-939B-9E01373208E0,DISABLING,THREE OCLOCK,THREE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,South,40,No,No,2013,TOYT,RAV4,NO MISUSE,39.147255,-77.23299667,"
,  
(39.147255, -77.23299667)"
MCP158000D9,200039599,Montgomery County Police,Injury Crash,2020-10-08T07:35:00.000,Maryland (State),CLOPPER RD,Municipality,PHEASANT RUN DR,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,29D79F16-A6A8-4D0E-BEF1-EAC5BCB05E1B,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",UNKNOWN,MD,99622570-CFEB-4AD9-A526-ECA6CCF8A6E2,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,East,40,No,No,2019,KIA,SORENTO,NO MISUSE,39.147255,-77.23299667,"
,  
(39.147255, -77.23299667)"
MCP3071001R,200039581,Montgomery County Police,Property Damage Crash,2020-10-07T23:51:00.000,County,SCENERY DR,County,BRANDERMILL DR,,,,OTHER,CLEAR,DRY,DARK LIGHTS ON,,ALCOHOL PRESENT,,445FC6AB-9FD2-4C61-BD24-E07EF739960C,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,MD,9057EFF9-0935-4167-BDB5-9EDC8E820550,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,No,No,2014,HYUN,4S,NO MISUSE,39.19153333,-77.23359,"
,  
(39.19153333, -77.23359)"
MCP3191001Z,200039560,Montgomery County Police,Property Damage Crash,2020-10-07T20:20:00.000,,,,,15821 FREDERICK RD IN GAS STATION LOT,,,OTHER,CLEAR,,DARK LIGHTS ON,,NONE DETECTED,,75D9ECD7-1FBC-4D75-B92F-1DCA3C31BFF9,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,1309786C-3BC6-4CFB-9E98-607AAE889A57,NO DAMAGE,ONE OCLOCK,ONE OCLOCK,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",BACKING,South,South,5,No,No,2017,DUMPTRUCK,PETERBUILT,NO MISUSE,39.11557333,-77.16561,"
,  
(39.11557333, -77.16561)"
MCP2892008V,200039541,Montgomery County Police,Property Damage Crash,2020-10-07T17:16:00.000,US (State),COLESVILLE RD,County,NOYES CT,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,1D15E395-BD85-4287-BDC5-9431BB8DCD63,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,0C101E03-6761-488B-8D7E-6766E3887662,SUPERFICIAL,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,CHANGING LANES,North,North,35,No,No,2002,JEEP,SU,NO MISUSE,39.00132667,-77.02528667,"
,  
(39.00132667, -77.02528667)"
MCP2892008V,200039541,Montgomery County Police,Property Damage Crash,2020-10-07T17:16:00.000,US (State),COLESVILLE RD,County,NOYES CT,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,ABE00A4F-5F00-4FC7-9E54-99E9C16A3117,No,NO APPARENT INJURY,,NOT DISTRACTED,VA,C1FA9B81-E664-4675-AADB-5A05E437B202,DISABLING,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2019,HYUNDAI,4S,NO MISUSE,39.00132667,-77.02528667,"
,  
(39.00132667, -77.02528667)"
MCP31690038,200039489,Montgomery County Police,Property Damage Crash,2020-10-07T12:34:00.000,County,PARHAM RD,County,ARMISTEAD RD,,,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,8A5BB7CC-F6FB-44B9-8CCD-ECB797EA0BE2,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FE35C371-D1E9-4E70-BD79-E53FB4ED682E,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,South,South,15,No,No,2009,FORD,RANGER,,39.014455,-76.980215,"
,  
(39.014455, -76.980215)"
MCP31690038,200039489,Montgomery County Police,Property Damage Crash,2020-10-07T12:34:00.000,County,PARHAM RD,County,ARMISTEAD RD,,,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,76523086-C202-4BF3-96D5-892CF7ACAD5F,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,B8F3611D-C939-4803-B3B4-199D780BBD8B,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,BACKING,South,East,15,No,No,2009,CHEV,MALIBU,NO MISUSE,39.014455,-76.980215,"
,  
(39.014455, -76.980215)"
